action,condition,effector,event_index,label,onset_actual_s,onset_planned_s,participant,pin_code,plan_duration_s,run_number,scheduling_error_ms,session,sound_id,trial_duration_s,trial_index
visual_fixation,,hand,0,baseline_start,0.016249,0.0,cx x,,,1,16.249,01,,,
marker,,hand,1,run_start,0.016424,0.0,cx x,,,1,16.424,01,,,
visual_fixation,grasp,hand,2,preview_start,10.042405,10.0,cx x,,,1,42.405,01,,,1
marker,grasp,hand,3,trial_start,10.04257,10.0,cx x,,5.426,1,42.57,01,,,1
sound_cue,grasp,hand,4,cue_grasp,12.001606,12.0,cx x,10,,1,1.606,01,grasp,,1
sound_go,grasp,hand,5,go_beep,17.427251,17.425602,cx x,30,,1,1.649,01,go,,1
marker,grasp,hand,6,execute_start,17.427669,17.426602,cx x,,,1,1.067,01,,,1
marker,grasp,hand,7,iti_start,19.425802,19.425602,cx x,,,1,0.2,01,,,1
visual_fixation,,hand,8,iti_fixation,19.432745,19.428602,cx x,,,1,4.143,01,,,1
visual_fixation,touch,hand,9,preview_start,27.460519,27.425602,cx x,,,1,34.917,01,,,2
marker,grasp,hand,10,trial_end,27.460654,27.425602,cx x,,,1,35.052,01,,17.426,1
marker,touch,hand,11,trial_start,27.460846,27.425602,cx x,,5.964,1,35.244,01,,,2
sound_cue,touch,hand,12,cue_touch,29.427838,29.425602,cx x,20,,1,2.236,01,touch,,2
sound_go,touch,hand,13,go_beep,35.39259,35.390094,cx x,40,,1,2.496,01,go,,2
marker,touch,hand,14,execute_start,35.393058,35.391094,cx x,,,1,1.964,01,,,2
marker,touch,hand,15,iti_start,37.390323,37.390094,cx x,,,1,0.229,01,,,2
visual_fixation,,hand,16,iti_fixation,37.427677,37.393094,cx x,,,1,34.583,01,,,2
visual_fixation,grasp,hand,17,preview_start,45.41689,45.390094,cx x,,,1,26.796,01,,,3
marker,touch,hand,18,trial_end,45.417027,45.390094,cx x,,,1,26.933,01,,17.964,2
marker,grasp,hand,19,trial_start,45.417232,45.390094,cx x,,5.274,1,27.138,01,,,3
sound_cue,grasp,hand,20,cue_grasp,47.392143,47.390094,cx x,10,,1,2.049,01,grasp,,3
sound_go,grasp,hand,21,go_beep,52.666725,52.664291,cx x,30,,1,2.434,01,go,,3
marker,grasp,hand,22,execute_start,52.667128,52.665291,cx x,,,1,1.837,01,,,3
marker,grasp,hand,23,iti_start,54.664565,54.664291,cx x,,,1,0.274,01,,,3
visual_fixation,,hand,24,iti_fixation,54.694896,54.667291,cx x,,,1,27.605,01,,,3
visual_fixation,touch,hand,25,preview_start,62.678068,62.664291,cx x,,,1,13.777,01,,,4
marker,grasp,hand,26,trial_end,62.678209,62.664291,cx x,,,1,13.918,01,,17.274,3
marker,touch,hand,27,trial_start,62.678418,62.664291,cx x,,5.187,1,14.127,01,,,4
sound_cue,touch,hand,28,cue_touch,64.666915,64.664291,cx x,20,,1,2.624,01,touch,,4
