action,condition,effector,event_index,label,n_trials,onset_s,pin_code,plan_duration_s,run_number,sound_id,trial_duration_s,trial_index,trial_order
visual_fixation,,,0,baseline_start,,0.0,,,,,,,
marker,,hand,1,run_start,40,0.0,,,1,,,,"['grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch']"
visual_fixation,grasp,,2,preview_start,,10.0,,,,,,1,
marker,grasp,hand,3,trial_start,,10.0,,5.426,,,,1,
sound_cue,grasp,,4,cue_grasp,,12.0,10,,,grasp,,1,
sound_go,grasp,,5,go_beep,,17.425602,30,,,go,,1,
marker,grasp,,6,execute_start,,17.426602,,,,,,1,
marker,grasp,,7,iti_start,,19.425602,,,,,,1,
visual_fixation,,,8,iti_fixation,,19.428602,,,,,,1,
visual_fixation,touch,,9,preview_start,,27.425602,,,,,,2,
marker,grasp,,10,trial_end,,27.425602,,,,,17.426,1,
marker,touch,hand,11,trial_start,,27.425602,,5.964,,,,2,
sound_cue,touch,,12,cue_touch,,29.425602,20,,,touch,,2,
sound_go,touch,,13,go_beep,,35.390094,40,,,go,,2,
marker,touch,,14,execute_start,,35.391094,,,,,,2,
marker,touch,,15,iti_start,,37.390094,,,,,,2,
visual_fixation,,,16,iti_fixation,,37.393094,,,,,,2,
visual_fixation,grasp,,17,preview_start,,45.390094,,,,,,3,
marker,touch,,18,trial_end,,45.390094,,,,,17.964,2,
marker,grasp,hand,19,trial_start,,45.390094,,5.274,,,,3,
sound_cue,grasp,,20,cue_grasp,,47.390094,10,,,grasp,,3,
sound_go,grasp,,21,go_beep,,52.664291,30,,,go,,3,
marker,grasp,,22,execute_start,,52.665291,,,,,,3,
marker,grasp,,23,iti_start,,54.664291,,,,,,3,
visual_fixation,,,24,iti_fixation,,54.667291,,,,,,3,
visual_fixation,touch,,25,preview_start,,62.664291,,,,,,4,
marker,grasp,,26,trial_end,,62.664291,,,,,17.274,3,
marker,touch,hand,27,trial_start,,62.664291,,5.187,,,,4,
sound_cue,touch,,28,cue_touch,,64.664291,20,,,touch,,4,
sound_go,touch,,29,go_beep,,69.850859,40,,,go,,4,
marker,touch,,30,execute_start,,69.851859,,,,,,4,
marker,touch,,31,iti_start,,71.850859,,,,,,4,
visual_fixation,,,32,iti_fixation,,71.853859,,,,,,4,
