action,condition,effector,event_index,label,onset_actual_s,onset_planned_s,participant,pin_code,plan_duration_s,run_number,scheduling_error_ms,session,sound_id,trial_duration_s,trial_index
visual_fixation,,hand,0,baseline_start,0.003232,0.0,jeru,,,1,3.232,01,,,
marker,,hand,1,run_start,0.003345,0.0,jeru,,,1,3.345,01,,,
visual_fixation,touch,hand,2,preview_start,10.031273,10.0,jeru,,,1,31.273,01,,,1
marker,touch,hand,3,trial_start,10.031446,10.0,jeru,,5.584,1,31.446,01,,,1
sound_cue,touch,hand,4,cue_touch,12.000718,12.0,jeru,20,,1,0.718,01,touch,,1
sound_go,touch,hand,5,go_beep,17.584702,17.583924,jeru,40,,1,0.778,01,go,,1
marker,touch,hand,6,execute_start,17.585007,17.584924,jeru,,,1,0.083,01,,,1
marker,touch,hand,7,iti_start,19.584014,19.583924,jeru,,,1,0.09,01,,,1
visual_fixation,,hand,8,iti_fixation,19.631869,19.586924,jeru,,,1,44.945,01,,,1
visual_fixation,grasp,hand,9,preview_start,27.615824,27.583924,jeru,,,1,31.9,01,,,2
marker,touch,hand,10,trial_end,27.615964,27.583924,jeru,,,1,32.04,01,,17.584,1
marker,grasp,hand,11,trial_start,27.616186,27.583924,jeru,,5.131,1,32.262,01,,,2
sound_cue,grasp,hand,12,cue_grasp,29.58465,29.583924,jeru,10,,1,0.726,01,grasp,,2
sound_go,grasp,hand,13,go_beep,34.715196,34.71447,jeru,30,,1,0.726,01,go,,2
marker,grasp,hand,14,execute_start,34.715605,34.71547,jeru,,,1,0.135,01,,,2
marker,grasp,hand,15,iti_start,36.714541,36.71447,jeru,,,1,0.071,01,,,2
visual_fixation,,hand,16,iti_fixation,36.749632,36.71747,jeru,,,1,32.162,01,,,2
visual_fixation,touch,hand,17,preview_start,44.742078,44.71447,jeru,,,1,27.608,01,,,3
marker,grasp,hand,18,trial_end,44.742242,44.71447,jeru,,,1,27.772,01,,17.131,2
marker,touch,hand,19,trial_start,44.742464,44.71447,jeru,,5.887,1,27.994,01,,,3
sound_cue,touch,hand,20,cue_touch,46.715133,46.71447,jeru,20,,1,0.663,01,touch,,3
sound_go,touch,hand,21,go_beep,52.602143,52.60151,jeru,40,,1,0.633,01,go,,3
marker,touch,hand,22,execute_start,52.602596,52.60251,jeru,,,1,0.086,01,,,3
marker,touch,hand,23,iti_start,54.601714,54.60151,jeru,,,1,0.204,01,,,3
visual_fixation,,hand,24,iti_fixation,54.63334,54.60451,jeru,,,1,28.83,01,,,3
visual_fixation,grasp,hand,25,preview_start,62.61059,62.60151,jeru,,,1,9.08,01,,,4
marker,touch,hand,26,trial_end,62.610732,62.60151,jeru,,,1,9.222,01,,17.887,3
marker,grasp,hand,27,trial_start,62.610953,62.60151,jeru,,5.822,1,9.443,01,,,4
sound_cue,grasp,hand,28,cue_grasp,64.602204,64.60151,jeru,10,,1,0.694,01,grasp,,4
sound_go,grasp,hand,29,go_beep,70.423717,70.423013,jeru,30,,1,0.704,01,go,,4
marker,grasp,hand,30,execute_start,70.424095,70.424013,jeru,,,1,0.082,01,,,4
marker,grasp,hand,31,iti_start,72.423216,72.423013,jeru,,,1,0.203,01,,,4
visual_fixation,,hand,32,iti_fixation,72.447332,72.426013,jeru,,,1,21.319,01,,,4
visual_fixation,touch,hand,33,preview_start,80.428475,80.423013,jeru,,,1,5.462,01,,,5
marker,grasp,hand,34,trial_end,80.428632,80.423013,jeru,,,1,5.619,01,,17.822,4
marker,touch,hand,35,trial_start,80.428899,80.423013,jeru,,5.751,1,5.886,01,,,5
sound_cue,touch,hand,36,cue_touch,82.4237,82.423013,jeru,20,,1,0.687,01,touch,,5
