action,condition,effector,event_index,label,n_trials,onset_s,pin_code,plan_duration_s,run_number,sound_id,trial_duration_s,trial_index,trial_order
visual_fixation,,,0,baseline_start,,0.0,,,,,,,
marker,,hand,1,run_start,40,0.0,,,1,,,,"['touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp', 'touch', 'grasp']"
visual_fixation,touch,,2,preview_start,,10.0,,,,,,1,
marker,touch,hand,3,trial_start,,10.0,,5.584,,,,1,
sound_cue,touch,,4,cue_touch,,12.0,20,,,touch,,1,
sound_go,touch,,5,go_beep,,17.583924,40,,,go,,1,
marker,touch,,6,execute_start,,17.584924,,,,,,1,
marker,touch,,7,iti_start,,19.583924,,,,,,1,
visual_fixation,,,8,iti_fixation,,19.586924,,,,,,1,
visual_fixation,grasp,,9,preview_start,,27.583924,,,,,,2,
marker,touch,,10,trial_end,,27.583924,,,,,17.584,1,
marker,grasp,hand,11,trial_start,,27.583924,,5.131,,,,2,
sound_cue,grasp,,12,cue_grasp,,29.583924,10,,,grasp,,2,
sound_go,grasp,,13,go_beep,,34.71447,30,,,go,,2,
marker,grasp,,14,execute_start,,34.71547,,,,,,2,
marker,grasp,,15,iti_start,,36.71447,,,,,,2,
visual_fixation,,,16,iti_fixation,,36.71747,,,,,,2,
visual_fixation,touch,,17,preview_start,,44.71447,,,,,,3,
marker,grasp,,18,trial_end,,44.71447,,,,,17.131,2,
marker,touch,hand,19,trial_start,,44.71447,,5.887,,,,3,
sound_cue,touch,,20,cue_touch,,46.71447,20,,,touch,,3,
sound_go,touch,,21,go_beep,,52.60151,40,,,go,,3,
marker,touch,,22,execute_start,,52.60251,,,,,,3,
marker,touch,,23,iti_start,,54.60151,,,,,,3,
visual_fixation,,,24,iti_fixation,,54.60451,,,,,,3,
visual_fixation,grasp,,25,preview_start,,62.60151,,,,,,4,
marker,touch,,26,trial_end,,62.60151,,,,,17.887,3,
marker,grasp,hand,27,trial_start,,62.60151,,5.822,,,,4,
sound_cue,grasp,,28,cue_grasp,,64.60151,10,,,grasp,,4,
sound_go,grasp,,29,go_beep,,70.423013,30,,,go,,4,
marker,grasp,,30,execute_start,,70.424013,,,,,,4,
marker,grasp,,31,iti_start,,72.423013,,,,,,4,
visual_fixation,,,32,iti_fixation,,72.426013,,,,,,4,
visual_fixation,touch,,33,preview_start,,80.423013,,,,,,5,
marker,grasp,,34,trial_end,,80.423013,,,,,17.822,4,
marker,touch,hand,35,trial_start,,80.423013,,5.751,,,,5,
sound_cue,touch,,36,cue_touch,,82.423013,20,,,touch,,5,
sound_go,touch,,37,go_beep,,88.173988,40,,,go,,5,
marker,touch,,38,execute_start,,88.174988,,,,,,5,
marker,touch,,39,iti_start,,90.173988,,,,,,5,
visual_fixation,,,40,iti_fixation,,90.176988,,,,,,5,
visual_fixation,grasp,,41,preview_start,,98.173988,,,,,,6,
marker,touch,,42,trial_end,,98.173988,,,,,17.751,5,
marker,grasp,hand,43,trial_start,,98.173988,,5.486,,,,6,
sound_cue,grasp,,44,cue_grasp,,100.173988,10,,,grasp,,6,
sound_go,grasp,,45,go_beep,,105.659522,30,,,go,,6,
marker,grasp,,46,execute_start,,105.660522,,,,,,6,
marker,grasp,,47,iti_start,,107.659522,,,,,,6,
visual_fixation,,,48,iti_fixation,,107.662522,,,,,,6,
visual_fixation,touch,,49,preview_start,,115.659522,,,,,,7,
marker,grasp,,50,trial_end,,115.659522,,,,,17.486,6,
marker,touch,hand,51,trial_start,,115.659522,,5.305,,,,7,
sound_cue,touch,,52,cue_touch,,117.659522,20,,,touch,,7,
sound_go,touch,,53,go_beep,,122.964349,40,,,go,,7,
marker,touch,,54,execute_start,,122.965349,,,,,,7,
marker,touch,,55,iti_start,,124.964349,,,,,,7,
visual_fixation,,,56,iti_fixation,,124.967349,,,,,,7,
visual_fixation,grasp,,57,preview_start,,132.964349,,,,,,8,
marker,touch,,58,trial_end,,132.964349,,,,,17.305,7,
marker,grasp,hand,59,trial_start,,132.964349,,5.846,,,,8,
sound_cue,grasp,,60,cue_grasp,,134.964349,10,,,grasp,,8,
sound_go,grasp,,61,go_beep,,140.810231,30,,,go,,8,
marker,grasp,,62,execute_start,,140.811231,,,,,,8,
marker,grasp,,63,iti_start,,142.810231,,,,,,8,
visual_fixation,,,64,iti_fixation,,142.813231,,,,,,8,
visual_fixation,touch,,65,preview_start,,150.810231,,,,,,9,
marker,grasp,,66,trial_end,,150.810231,,,,,17.846,8,
marker,touch,hand,67,trial_start,,150.810231,,5.625,,,,9,
sound_cue,touch,,68,cue_touch,,152.810231,20,,,touch,,9,
sound_go,touch,,69,go_beep,,158.435624,40,,,go,,9,
marker,touch,,70,execute_start,,158.436624,,,,,,9,
marker,touch,,71,iti_start,,160.435624,,,,,,9,
visual_fixation,,,72,iti_fixation,,160.438624,,,,,,9,
visual_fixation,grasp,,73,preview_start,,168.435624,,,,,,10,
marker,touch,,74,trial_end,,168.435624,,,,,17.625,9,
marker,grasp,hand,75,trial_start,,168.435624,,5.791,,,,10,
sound_cue,grasp,,76,cue_grasp,,170.435624,10,,,grasp,,10,
sound_go,grasp,,77,go_beep,,176.226497,30,,,go,,10,
marker,grasp,,78,execute_start,,176.227497,,,,,,10,
marker,grasp,,79,iti_start,,178.226497,,,,,,10,
visual_fixation,,,80,iti_fixation,,178.229497,,,,,,10,
visual_fixation,touch,,81,preview_start,,186.226497,,,,,,11,
marker,grasp,,82,trial_end,,186.226497,,,,,17.791,10,
marker,touch,hand,83,trial_start,,186.226497,,5.199,,,,11,
sound_cue,touch,,84,cue_touch,,188.226497,20,,,touch,,11,
sound_go,touch,,85,go_beep,,193.425651,40,,,go,,11,
marker,touch,,86,execute_start,,193.426651,,,,,,11,
marker,touch,,87,iti_start,,195.425651,,,,,,11,
visual_fixation,,,88,iti_fixation,,195.428651,,,,,,11,
visual_fixation,grasp,,89,preview_start,,203.425651,,,,,,12,
marker,touch,,90,trial_end,,203.425651,,,,,17.199,11,
marker,grasp,hand,91,trial_start,,203.425651,,5.288,,,,12,
sound_cue,grasp,,92,cue_grasp,,205.425651,10,,,grasp,,12,
sound_go,grasp,,93,go_beep,,210.714021,30,,,go,,12,
marker,grasp,,94,execute_start,,210.715021,,,,,,12,
marker,grasp,,95,iti_start,,212.714021,,,,,,12,
visual_fixation,,,96,iti_fixation,,212.717021,,,,,,12,
visual_fixation,touch,,97,preview_start,,220.714021,,,,,,13,
marker,grasp,,98,trial_end,,220.714021,,,,,17.288,12,
marker,touch,hand,99,trial_start,,220.714021,,5.368,,,,13,
sound_cue,touch,,100,cue_touch,,222.714021,20,,,touch,,13,
sound_go,touch,,101,go_beep,,228.082512,40,,,go,,13,
marker,touch,,102,execute_start,,228.083512,,,,,,13,
marker,touch,,103,iti_start,,230.082512,,,,,,13,
visual_fixation,,,104,iti_fixation,,230.085512,,,,,,13,
visual_fixation,grasp,,105,preview_start,,238.082512,,,,,,14,
marker,touch,,106,trial_end,,238.082512,,,,,17.368,13,
marker,grasp,hand,107,trial_start,,238.082512,,5.911,,,,14,
sound_cue,grasp,,108,cue_grasp,,240.082512,10,,,grasp,,14,
sound_go,grasp,,109,go_beep,,245.993499,30,,,go,,14,
marker,grasp,,110,execute_start,,245.994499,,,,,,14,
marker,grasp,,111,iti_start,,247.993499,,,,,,14,
visual_fixation,,,112,iti_fixation,,247.996499,,,,,,14,
visual_fixation,touch,,113,preview_start,,255.993499,,,,,,15,
marker,grasp,,114,trial_end,,255.993499,,,,,17.911,14,
marker,touch,hand,115,trial_start,,255.993499,,5.402,,,,15,
sound_cue,touch,,116,cue_touch,,257.993499,20,,,touch,,15,
sound_go,touch,,117,go_beep,,263.39527,40,,,go,,15,
marker,touch,,118,execute_start,,263.39627,,,,,,15,
marker,touch,,119,iti_start,,265.39527,,,,,,15,
visual_fixation,,,120,iti_fixation,,265.39827,,,,,,15,
visual_fixation,grasp,,121,preview_start,,273.39527,,,,,,16,
marker,touch,,122,trial_end,,273.39527,,,,,17.402,15,
marker,grasp,hand,123,trial_start,,273.39527,,5.732,,,,16,
sound_cue,grasp,,124,cue_grasp,,275.39527,10,,,grasp,,16,
